115,216,1719,532,-8
271,445,360,179,-21
431,955,2761,853,-18
97,175,177,107,-12
423,802,2219,944,-1
325,640,517,223,-10
163,343,260,94,-9
737,1642,1750,871,-11
849,1829,1616,706,-11
896,1875,1551,678,-14
860,1718,1634,7,-13
95,192,151,63,-19
135,269,226,103,-22
577,1196,1001,454,-577
104,209,238,92,-20
293,543,476,213,-24
24,43,52,26,-23
14,66,19,4,-25
836,2051,1472,641,-11
24,39,331,122,-9
751,1812,1733,704,-12
127,228,254,135,-11
23,50,50,20,-20
78,249,204,78,-18
649,1076,2352,924,-13
6,26,20,0,-16
305,531,473,237,-15
75,125,147,49,-14
816,2263,1381,540,-11
806,1603,1745,808,-2
23,62,79,38,-2
327,660,802,365,-2
74,163,186,89,3
27,102,682,96,3
209,367,411,180,3
23,56,94,42,-2
2,6,34,7,2
43,47,202,145,1
11,36,199,50,1
47,94,60,34,-2
183,398,162,87,-15
792,2400,297,153,-14
18,30,47,19,-11
24,51,47,17,-12
127,200,239,131,-12
232,567,638,237,-22
273,692,496,205,-20
24,66,49,30,-18
11,38,43,14,-21
16,57,65,19,-25
91,165,171,38,-20
266,521,444,227,-17
475,1125,919,431,-9
876,1679,1614,831,-11
31,53,154,49,-1
72,120,561,194,-3
7,12,30,2,2
197,334,587,343,-2
150,224,335,162,-2
3,5,136,10,7
37,66,61,33,-5
43,90,131,47,-2
5,6,24,3,4
12,36,179,35,2
271,629,1149,420,-3
75,100,615,119,4
12,19,28,9,3
46,130,309,89,2
80,218,349,114,1
54,184,329,110,3
261,962,801,295,-4
406,883,2673,1038,-5
922,1577,1552,949,-9
820,1411,1233,695,-8
938,1646,1517,832,-9
566,994,1155,607,-6
198,386,455,249,-7
298,597,1033,596,-5
793,1344,1769,1095,-7
137,294,285,121,-13
633,1657,1441,576,-13
180,368,394,161,-13
150,283,291,118,-15
203,365,412,170,-16
854,1803,1633,710,-17
24,64,92,26,-17
50,131,139,44,-20
77,164,58,26,-21
332,668,649,253,-18
13,25,31,15,-17
10,32,47,15,-14
711,1276,1099,590,-13
795,1499,1735,982,-9
0,4,6,1,-7
174,297,262,152,-13
816,1552,1250,584,-16
474,922,822,380,-15
30,47,46,16,-16
84,148,184,70,-18
875,1696,1683,746,-22
38,114,106,39,-21
2,18,16,0,-22
84,339,102,30,-21
17,201,7,2,-25
19,93,92,24,-21
41,97,184,72,-21
104,284,93,41,-20
385,839,379,179,-25
56,92,109,33,-22
21,47,37,7,-20
12,40,28,17,-18
35,97,83,31,-16
630,1256,1128,555,-14
886,1593,1460,779,-12
443,711,1863,449,-7
62,111,371,162,-7
443,711,1863,449,-7
359,771,743,346,-9
66,115,130,76,-7
170,329,361,193,-4
4,14,17,7,-3
86,161,177,66,-3
4,3,12,2,1
710,1384,1879,1027,2
108,180,124,66,2
33,50,50,11,3
36,115,335,151,4
5,7,49,10,4
2,5,19,7,-1
175,365,272,150,-1
378,751,938,452,2
44,78,208,93,2
511,1247,2012,733,-2
241,453,589,303,-1
3,9,31,10,3
108,180,124,66,2
4,938,2110,732,2
3,6,72,19,7,4
670,1452,594,310,2
5,14,73,16,3
6,2,27,2,4
10,17,80,10,2
9,9,19,2,2
75,381,3002,1542,4
42,84,1712,317,5
820,2069,1500,612,-6
1086,2254,1116,544,-13
7,4,2,2,-5
270,456,1651,459,1
533,1069,909,427,-6
99,174,162,69,-7
212,378,329,159,-9
238,509,331,112,-9
645,1500,1973,882,-6
718,840,130,176,-5
39,78,426,163,-3
669,1089,2047,1196,-5
3,12,11,4,-7
661,1344,1477,756,-7
152,283,280,153,-5
140,251,266,108,-5
818,1667,1690,825,-6
29,45,63,33,-5
240,595,401,159,-9
254,462,459,213,-10
389,690,771,425,-7
26,54,89,51,-6
1018,1577,1509,896,-7
895,1697,1578,830,-9
82,161,134,64,-12
914,2163,427,227,-14
744,1712,897,482,-13
3,11,21,4,-13
255,997,343,114,-12
105,222,1733,334,1
31,134,53,14,-17
5,24,17,7,-19
200,716,172,63,-22
325,608,443,216,-16
738,1912,1770,580,-11
6,1129,749,423,-12
6,17,23,9,-10
203,369,334,142,-10
762,1292,1163,591,-12
33,70,86,26,-15
19,61,46,23,-15
203,365,412,170,-16
386,666,564,310,-13
535,977,770,382,-13
71,121,108,37,-16
31,84,64,21,-18
309,560,412,187,-18
169,298,291,128,-19
8,20,28,5,-21
0,22,6,1,-23
157,276,264,122,-22
293,543,476,213,-24
35,118,73,29,-25
612,973,2383,1032,-8
666,1113,966,551,-9
816,2261,1383,540,-10
1169,2691,717,434,-12
105,195,520,212,-9
816,1701,1691,792,-11
243,499,264,169,-15
14,42,16,5,-15
257,465,430,180,-13
163,320,190,104,-14
44,75,81,40,-14
31,55,65,19,-16
94,211,26,7,-17
26,40,46,22,-17
106,142,124,11,-19
39,166,22,9,-22
615,1124,2293,969,-7
644,1025,2013,1318,-7
19,50,17,12,-8
336,660,1383,592,-4
40,99,121,53,-3
56,94,475,21,6
1207,2536,779,478,-8
731,1412,1966,891,-4
104,255,242,102,-3
31,54,247,78,-1
19,87,15,5,-18
18,26,70,13,3
57,111,179,64,3
637,1185,2084,1094,2
292,591,743,390,3
253,540,575,293,3
292,591,743,390,3
987,1759,1401,853,2
276,475,835,450,1
9,12,1233,364,4
74,112,130,67,1
222,534,1751,652,3
169,407,1108,519,4
6,9,69,23,4
4,6,91,15,8
26,43,846,171,7
251,472,532,276,3
16,22,49,7,6
5,6,24,3,6
5,1,43,3,7
75,381,3002,1542,4
2,2,32,1,7
27,78,210,107,5
49,108,2149,459,4
389,637,371,124,-4
700,1395,1414,724,-3
149,296,730,360,-2
369,906,626,208,-8
4,1113,1205,502,-8
25,56,44,23,-5
521,1289,1010,394,-4
518,1306,543,274,-18
673,2104,324,192,-17
152,312,269,132,-12
316,927,447,203,-12
64,197,238,65,-8
205,549,1423,359,4
182,491,1059,326,-2
244,491,772,321,-7
110,286,497,196,-11
71,151,84,28,-13
16,74,32,11,-25
17,114,6,11,-25
56,90,127,59,-22
90,172,173,89,-24
6,25,17,11,-23
4,15,6,1,-17
853,1514,1319,662,-14
860,1718,1634,789,-13
878,16,1573,663,-12
56,144,139,62,-10
103,213,169,64,-8
528,1010,895,411,-7
56,97,115,39,-6
170,329,361,193,-4
206,384,239,149,-4
265,553,1175,561,-5
123,260,417,199,-7
387,1023,452,203,-9
474,1052,67,6,-10
666,1508,1417,525,-9
345,784,2773,1098,-11
1436,2567,690,307,-11
21,66,41,11,-16
72,121,109,37,-16
78,249,205,78,-18
186,334,340,165,-14
173,346,318,164,-15
89,178,149,63,-16
331,692,670,284,-17
272,502,393,208,-18
46,99,76,27,-20
13,43,27,20,-17
16,46,21,11,-20
149,469,163,85,-19
204,431,156,93,-19
6,30,28,6,-21
970,2189,1435,406,-11
182,309,590,270,-6
175,349,283,131,-11
351,834,649,287,-7
822,1675,1643,860,-9
1013,1728,1412,847,-9
81,193,149,82,-6
3,2,206,49,2
227,572,502,220,-5
705,1433,1894,969,-3
21,42,23,11,-5
1050,2267,1013,670,-4
639,1116,1135,498,-5
878,1705,1515,902,-7
642,1189,1825,870,-7
359,649,991,498,-6
55,117,185,105,-6
102,227,251,92,-5
599,1491,1920,1000,-3
567,1164,1297,692,-3
493,984,1340,754,-2
341,569,3059,1033,1
56,94,475,21,6
591,1242,2075,1102,-6
47,159,70,24,-13
531,1070,2421,978,-1
570,985,2376,1069,-1
3,4,162,31,2
418,659,2697,1237,-1
715,1496,1694,592,-2
159,574,150,78,-10
18,51,29,14,-5
295,525,427,231,-5
63,149,159,75,-5
691,1306,1819,872,-4
30,63,64,29,-6
51,121,82,33,-7
756,1300,17,1057,-4
28,33,49,19,-6
816,1702,1694,789,-7
380,721,661,325,-8
147,336,509,263,-6
1006,1873,1193,693,-8
751,1812,1733,704,-12
1,12,10,0,-23
1,17,11,4,-21
1,12,10,0,-23
31,69,52,14,-25
59,162,44,33,-25
78,169,47,22,-25
4,42,13,3,-24
350,616,435,212,-23
99,182,180,80,-22
66,130,127,46,-22
11,39,43,14,-21
24,69,49,31,-19
18,47,42,19,-20
541,1161,992,454,-17
118,209,202,87,-18
112,385,146,70,-15
2,14,11,2,-13
31,71,63,14,-14
75,125,147,49,-14
33,64,74,20,-16
879,1670,1311,690,-15
153,295,307,139,-15
8,14,0,1,-25
3,8,0,2,-25
174,367,236,112,-18
85,159,118,55,-16
284,739,377,159,-15
810,1592,1742,866,-9
133,216,189,55,-11
92,231,1109,455,-6
71,181,192,71,-10
62,129,164,75,-7
313,737,295,122,-15
26,49,338,115,-9
10,54,12,5,-25
835,1925,1528,712,-15
411,925,659,302,-16
696,1441,2032,841,-6
803,1373,1838,986,-7
645,1025,2012,1318,-7
94,174,171,76,-14
385,691,781,373,-14
28,62,41,8,-12
116,185,136,38,-12
12,31,40,18,-14
289,611,436,200,-16
16,56,28,7,-18
38,62,103,35,-18
185,327,216,124,-18
8,21,15,4,-15
30,39,55,13,-17
29,63,49,18,-15
11,32,25,6,-21
0,9,16,0,-21
2,12,5,1,-24
14,115,9,13,-25
66,142,122,51,-18
114,196,141,67,-16
82,174,161,61,-15
19,40,43,18,-1
1,1,12,1,1
641,1262,19,1109,-5
49,114,157,69,-2
105,290,402,146,1
3,5,54,9,3
73,108,150,59,1
26,75,320,79,5
3,9,17,6,4
10,32,52,10,4
16,44,30,6,2
8,11,37,6,4
10,24,36,16,3
45,101,155,71,1
5,3,93,9,5
278,620,593,256,-2
341,568,3058,1033,1
595,1133,1442,757,1
3,8,29,6,2
102,177,1340,313,-1
232,499,2883,1154,1
674,789,342,131,-2
1054,1801,1298,847,-3
429,796,1281,768,-4
27,51,21,5,-4
10,19,102,38,-4
311,884,739,311,-6
633,1208,417,188,-5
250,543,663,324,-4
942,1739,949,491,-3
265,502,636,340,-6
624,1238,1969,1169,-6
89,143,173,78,-7
663,1516,1616,731,-4
942,1739,949,491,-3
1024,2537,954,485,-10
751,1812,1733,704,-12
935,1855,1728,492,-10
666,1508,1417,525,-9
269,491,418,202,-7
130,286,180,85,-8
865,1785,714,330,-10
59,111,108,47,-9
429,727,856,459,-11
75,169,410,171,-13
46,99,69,25,-16
6,26,11,6,-21
24,52,59,18,-18
144,357,152,83,-19
80,202,281,122,-17
5,15,15,2,-15
37,97,83,31,-15
354,734,497,222,-16
60,69,59,16,-17
142,287,223,99,-12
276,533,591,290,-11
201,437,290,102,-14
257,462,438,237,-21
78,170,132,66,-19
630,1256,1128,555,-14
1,18,2,2,-15
316,695,356,128,-16
291,449,3313,947,4
169,407,1108,519,4
11,23,60,20,4
643,1501,1974,882,-5
294,466,1749,634,2
53,110,81,36,1
270,456,1651,459,1
710,1384,1879,1027,2
14,49,291,102,4
57,111,179,64,3
7,15,81,23,6
143,272,359,143,2
71,97,771,170,3
2,1,40,3,7
13,24,15,2,-15
52,122,80,34,-18
898,1963,1572,567,-15
969,2185,1439,408,-11
11,259,8,3,-25
624,1375,913,421,-17
75,126,145,47,-15
1,9,14,2,-15
860,1718,1634,7,-13
6,22,22,9,-11
40,82,75,14,-12
59,66,16,0,-14
186,411,643,361,-3
147,257,361,180,-3
152,283,280,153,-5
99,168,196,112,-7
16,45,38,13,-7
21,36,44,11,-16
13,25,40,10,-9
29,62,81,22,-12
